n_points:5278,name: r.las
n_points:8794,name: r0.las
n_points:5727,name: r00.las
n_points:1552,name: r000.las
n_points:19218,name: r002.las
n_points:6939,name: r004.las
n_points:2766,name: r0041.las
n_points:6930,name: r0043.las
n_points:6318,name: r0045.las
n_points:7040,name: r0047.las
n_points:7998,name: r006.las
n_points:7572,name: r0061.las
n_points:547,name: r0062.las
n_points:6848,name: r0063.las
n_points:1763,name: r0064.las
n_points:5346,name: r0065.las
n_points:1803,name: r0066.las
n_points:5699,name: r0067.las
n_points:8920,name: r02.las
n_points:6824,name: r020.las
n_points:3805,name: r0200.las
n_points:173,name: r0201.las
n_points:6085,name: r0202.las
n_points:7457,name: r0204.las
n_points:18,name: r0205.las
n_points:7141,name: r0206.las
n_points:7259,name: r022.las
n_points:6787,name: r0220.las
n_points:2363,name: r0222.las
n_points:905,name: r0223.las
n_points:7371,name: r0224.las
n_points:6772,name: r0226.las
n_points:293,name: r0227.las
n_points:8028,name: r024.las
n_points:7080,name: r0240.las
n_points:284,name: r0241.las
n_points:7463,name: r0242.las
n_points:6205,name: r0244.las
n_points:905,name: r0245.las
n_points:7451,name: r0246.las
n_points:7822,name: r026.las
n_points:7562,name: r0260.las
n_points:7284,name: r0262.las
n_points:7563,name: r0264.las
n_points:7528,name: r0266.las
n_points:8655,name: r04.las  ------------- 1 punto perso
n_points:7258,name: r040.las
n_points:6958,name: r0401.las --------------- 5 punti persi
n_points:7319,name: r0403.las
n_points:5247,name: r0405.las
n_points:7352,name: r0407.las
n_points:8177,name: r042.las
n_points:4782,name: r0420.las
n_points:2236,name: r0421.las
n_points:7084,name: r0422.las
n_points:443,name: r0423.las
n_points:5796,name: r0424.las
n_points:1249,name: r0425.las
n_points:7456,name: r0426.las
n_points:5254,name: r044.las
n_points:3161,name: r0441.las
n_points:226,name: r0442.las
n_points:7131,name: r0443.las
n_points:1220,name: r0445.las
n_points:2,name: r0446.las
n_points:7445,name: r0447.las
n_points:8277,name: r046.las
n_points:6390,name: r0460.las
n_points:687,name: r0461.las
n_points:7581,name: r0462.las
n_points:5685,name: r0464.las
n_points:1516,name: r0465.las
n_points:7365,name: r0466.las
n_points:9389,name: r06.las
n_points:8016,name: r060.las
n_points:7307,name: r0600.las
n_points:129,name: r0601.las
n_points:7365,name: r0602.las
n_points:7209,name: r0604.las
n_points:7098,name: r0606.las
n_points:7723,name: r062.las
n_points:7551,name: r0620.las
